Text,True Sentiment,IBM Watson Sentiment,IBM Watson Confidence,IBM Watson Response Time (s)
Spanish_capital able experience screener transcript movie scream gallo gravel strange operation gives divagation gallos genius movie however dull movie ever seen life_story times poorly exercise ring laughable also val kilmer fan share reason made grand effort view movie job val rattling one scene mention vomit hint insult intelligence_information pillow vomit seen stranded directors shoot shoot far far median contain interesting vincent gallo operation much gallo fan experience movie regardless speculative like gallo goose_egg left love,negative,negative,-0.912917,2.0416460037231445
impressed product in_all_probability levels product plot character developmentbr bromine definitely strike realness musical_genre since zero going nominate use originative imagination twists manipulating audience viewer shall feel think assesbr bromine thespian great especially fiddling ones chemistry blood_brother sister head blowing maybe even commons veridical life movie excellent literally watch fancy one cognize movie good one want closing finally everything,positive,positive,0.660864,0.4999814033508301
want panel goose_egg panel agony youve come right pic want least sliver practiced roleplay system_of_logic history consistencies evening practiced jest_at ending go elsewherebr Br couldnt help_oneself think jeeeez citizenry mentally gainsay example tail around seeing citizenry mutilated principal actress run_into police officeholder spills history nail weeping everything recite psychopath drives yellow hand_truck yellow hand_truck extract officeholder walks spill_the_beans jest_at hand_truck drives without trouble actress cum says didnt arrest hand_truck runs police officeholder rammed hand_truck stop route feet right_smart standing actress tries sweep_up nail out He big metre metre hand_truck backs runs cops peg double hand_truck drives didnt actress get gun beyond later shoots nail head double psychopath burn awake talk didnt kill duuuumb double finish subcontract flap eyeball right wrick out escape bathroom give_way blow_up climbs nigh cap wrick around nail isnt anymore okbr Br some_other example principal actress run_into pin_down charwoman bathroom spits the_likes_of gallon stemma floor cross board probably principal actress goes outside snap_up towel cum back everything gone dont excuse everyone stay_fresh disappearing either dense dense dumbbr Br the_likes_of horrorthrillergore movies one right_smart dense helpless genius cadre follow slobber shouldnt,negative,negative,-0.929533,0.5147688388824463
untom jerry abruptly jerry narrates tale revolves around Uncle_Tom big_cat strike love_life mislay competitor butch Uncle_Tom considerably friends jerry gall bit cartoon besides face cinemascope boilers_suit found Uncle_Tom jerry cartoon sad get_down put puss receive boot DVD rather wouldve happy experimental animated abruptly found disc Warner brothers DVD spotlight collection set last 1 set im hoping Warner brothers prefer unblock second volume soonbr br level coulomb,negative,negative,-0.963595,0.8129892349243164
social_lion king cunning floor hold_up along social_lion king fundamentally accompany original floor social_lion king dyad twist moviee vents explained different persona guide take_in floor unruffled original plotbr Brigate_Rosse far subsequence hold_up Walter_Elias_Disney isnt great micturate worthwhile I one third part social_lion king simbas congratulate indorsement actually original musical_theme unruffled require merriment offset timon pumbaa travel along looking nonsuch place live searching far wide witness place hakuna matata meet small social_lion make simba hold_up many things parents today hold_up throughbr Brigate_Rosse recollect skilful motion-picture_show im happy add collection,positive,positive,0.899092,0.6140718460083008
little research making film something dewy-eyed Google look_for funded us army promoted clip elections great idea id a_good_deal sort_of see documentary something edit bush organisation order reality timing picture turn look fact msl promoted raised inquiry intent motion_picture according msl contend theater_director joe gleason workfellow also deliver central targeted subject_matter warfare Iraq specific constituencies wrote eartha melzer leftleaning art house crowd one constituencies regime engage documentary film_producer propagandise us population nobody involved film unforced say initially commit money film ended represented armys PR firm,negative,negative,-0.519935,0.6166653633117676
normally drop almost much prison_term writing reviews watching film now break feel would criminal barren timebr BR v minute rant sorry film isbr BR prison_term mids undivided feeling steven seagal enough pass ribs replete frown could knock feet actually have hold would snap the_like twigbr BR 24-hour_interval although inactive capable considerable damage longer looks part atomic_number_2 gone seed doesnt bed telephone_call quit walks the_like atomic_number_2 deck pants yet someways inactive manages feeling constipated put weight brandmark long ponytail gone hair inactive looks stupid homo support working moving_picture industry beyond mebr BR now break usual seagal commixture mug_up crunching fights gondola crashes accelerator battles firework seagal mussitate way dull script delivering melodic_line zero_in ebullience credibility thirdrate action flicker frolic harlan deposit stealer assay start straight memorise touch looting generate entrance give-up_the_ghost jail escapes essay retaliate yawnbr BR pretty good gondola go_after accelerator fights interlard wearisome squeeze fate Reading comments imdb divulge actually adopt better motion_picture seagal too bodydoubled unspeakable fate onebr BR seagal turns one direful performances careerand thats saying something view stinking behave recent efforts hilarious altogether embarrassing essay Ebonics african American_language street slang da homo field_officer shono actually steven sound the_like arse ridiculous script plat melodic_line start nowhere film barren prison_term money essay final second harlan deposit saves childrens home_base closure enough make blow chunksbr BR damn looked clock enjoying trashing steaming pile shlock much last way v minutes prison_term berth comment get watching something decent,negative,negative,-0.997411,0.4153170585632324
shake_off histrion actresses columbo episode beside peter falk julie newmar jeannette nolan Martin landau Gemini_the_Twins anyway old uncle conk cryptically search alike affection snipe pedal discovered fianc julie newmar fiddle persona scrumptiously jeannette nolan fiddle womanhood house housekeeper prides endowment chides columbos sloppy often distinctive deportment cigar Martin landau fiddle monovular Gemini_the_Twins one_and_only accuse polish_off uncle money well youll watch see consequence tell always worth watching one_and_only shake_off crew,positive,neutral,0.0,0.40644264221191406
picture_show advertise funniness far serious house_trailer lay_down dont get wrong enjoy picture_show expecting jest great performances robin williams laura linney Worth meet dont last expecting pluck floor picture_show left wondering would like robin williams fictitious_character very individual lam chairwoman would elect comic doubt unfortunately kind double-dyed honesty something greatly lacking today picture_show adding videodisk depository_library soon comes videodisk picture_show heart,positive,negative,-0.8229,0.62441086769104
years honest-to-goodness saw low_gear saw movie house vivid memory unlike ending whole unlike importantly watched movie last night untimely guess following cant called spoiler since never take_place ending think male_child hiding household whole naked Jacques_Anatole_Francois_Thibault austen found rather easy confront slow sank stifle operate photographic_camera face frame pretty obvious letting happen albeit nothing similar show_up movie sandy dennis years honest-to-goodness stimulate movie michael burns movie complains babe Jacques_Anatole_Francois_Thibault makes big deal excite yeah intimately go bed dude get wtf,positive,negative,-0.691761,0.36383938789367676
